"","word","freq"
"conference","conference",828
"world","world",444
"will","will",430
"countries","countries",384
"nations","nations",338
"asia","asia",329
"peoples","peoples",317
"peace","peace",300
"africa","africa",266
"asian","asian",231
"bandung","bandung",211
"can","can",183
"one","one",183
"indonesia","indonesia",171
"asianafrican","asianafrican",170
"people","people",167
"may","may",157
"china","china",148
"cooperation","cooperation",145
"new","new",143
"united","united",143
"african","african",139
"great","great",139
"common","common",132
"colonialism","colonialism",127
"problems","problems",126
"economic","economic",125
"also","also",125
"powers","powers",120
"many","many",118
"country","country",115
"international","international",112
"prime","prime",108
"among","among",102
"independence","independence",100
"states","states",99
"fact","fact",98
"government","government",96
"freedom","freedom",94
"political","political",93
"republic","republic",92
"made","made",91
"must","must",89
"war","war",89
"way","way",88
"today","today",85
"first","first",84
"now","now",84
"question","question",81
"time","time",80
"hope","hope",79
"make","make",77
"principles","principles",77
"two","two",77
"relations","relations",76
"however","however",75
"meeting","meeting",74
"even","even",73
"south","south",73
"part","part",72
"together","together",72
"well","well",71
"cultural","cultural",71
"history","history",71
"much","much",71
"say","say",71
"colombo","colombo",69
"western","western",69
"five","five",68
"april","april",67
"human","human",67
"like","like",67
"minister","minister",65
"ministers","ministers",65
"national","national",64
"come","come",64
"affairs","affairs",63
"good","good",63
"peaceful","peaceful",63
"still","still",62
"power","power",62
"west","west",61
"colonial","colonial",60
"communist","communist",59
"important","important",59
"india","india",59
"upon","upon",59
"interest","interest",58
"let","let",58
"another","another",58
"free","free",57
"delegates","delegates",57
"mutual","mutual",55
"pakistan","pakistan",55
"possible","possible",55
"delegation","delegation",55
"afroasian","afroasian",54
"might","might",54
"state","state",54
"mankind","mankind",54
"view","view",53
"support","support",53
"understanding","understanding",53
"invited","invited",52
"place","place",52
"general","general",51
"future","future",50
"long","long",50
"others","others",50
"rights","rights",50
"said","said",50
"without","without",50
"end","end",50
"position","position",49
"right","right",49
"far","far",48
"different","different",48
"president","president",48
"east","east",47
"development","development",46
"policy","policy",46
"japan","japan",45
"desire","desire",44
"foreign","foreign",44
"present","present",44
"take","take",44
"yet","yet",44
"spirit","spirit",44
"friendly","friendly",43
"nehru","nehru",43
"chinese","chinese",43
"shall","shall",43
"coexistence","coexistence",42
"last","last",42
"therefore","therefore",42
"towards","towards",42
"life","life",42
"fear","fear",42
"work","work",42
"tension","tension",42
"past","past",42
"arab","arab",41
"problem","problem",41
"taken","taken",41
"vietnam","vietnam",41
"purpose","purpose",41
"continents","continents",41
"social","social",40
"communism","communism",40
"live","live",40
"participating","participating",40
"racial","racial",40
"security","security",40
"order","order",40
"sovereignty","sovereignty",39
"contribution","contribution",39
"respect","respect",39
"opinion","opinion",39
"every","every",39
"success","success",39
"able","able",39
"struggle","struggle",39
"consider","consider",38
"represented","represented",38
"cause","cause",38
"need","need",38
"issues","issues",38
"imperialism","imperialism",38
"chou","chou",38
"agreement","agreement",37
"clear","clear",37
"efforts","efforts",37
"means","means",37
"purposes","purposes",37
"strength","strength",37
"views","views",37
"full","full",37
"help","help",37
"think","think",37
"nation","nation",37
"importance","importance",37
"years","years",37
"achieve","achieve",36
"burma","burma",36
"governments","governments",36
"america","america",36
"concern","concern",35
"want","want",35
"form","form",35
"force","force",35
"since","since",35
"going","going",35
"weapons","weapons",35
"become","become",34
"better","better",34
"ceylon","ceylon",34
"decisions","decisions",34
"indonesian","indonesian",34
"north","north",34
"sponsoring","sponsoring",34
"know","know",34
"american","american",34
"treaty","treaty",34
"best","best",33
"bring","bring",33
"friendship","friendship",33
"influence","influence",33
"meet","meet",33
"philippines","philippines",33
"basis","basis",33
"bloc","bloc",33
"man","man",33
"perhaps","perhaps",33
"equality","equality",33
"promotion","promotion",32
"already","already",32
"indeed","indeed",32
"principle","principle",32
"leaders","leaders",32
"whether","whether",32
"certainly","certainly",32
"resolutions","resolutions",32
"progress","progress",32
"goodwill","goodwill",31
"bogor","bogor",31
"concerned","concerned",31
"military","military",31
"representatives","representatives",31
"independent","independent",31
"point","point",31
"charter","charter",31
"result","result",31
"see","see",31
"unity","unity",31
"paper","paper",31
"attend","attend",30
"expressed","expressed",30
"geneva","geneva",30
"greater","greater",30
"invitation","invitation",30
"policies","policies",30
"statement","statement",30
"given","given",30
"sense","sense",30
"enlai","enlai",30
"things","things",30
"give","give",30
"differences","differences",30
"days","days",29
"met","met",29
"use","use",29
"times","times",29
"region","region",29
"believe","believe",29
"discussions","discussions",28
"never","never",28
"attitude","attitude",28
"matter","matter",28
"wish","wish",28
"within","within",28
"whatever","whatever",28
"find","find",28
"little","little",28
"discrimination","discrimination",28
"domination","domination",27
"held","held",27
"just","just",27
"large","large",27
