text,topic,subtopic,delegate,press_region,address_type
"to promote goodwill and cooperation among the nations of Asia and Africa, to explore and advance their mutual as well as common interests and to establish and further friendliness and neighbourly relations; ",purpose,,,,
"to consider social, economic and cultural problems and relations of the countries represented",purpose,,,,
"to consider problems of special interest to Asian and African peoples, e.g. problems affecting national sovereignty and of racialism and colonialism",purpose,,,,
to view the position of Asia and Africa and their peoples in the world of today and the contribution they can make to the promotion of world peace and cooperation,purpose,,,,
"It is fitting that bulletin devoted to the Asian-African Conference should begin with a resume of events leading up to the holding of that conference,
For centuries countries in South East Asia have been subjected to the colonial policies of the Western Nations. Colonialism separated these once-colonised countries from each other and prevented their closer cooperation. As colonies they were always pushed in the background and they never participated in the solution of world problems, not even problems affecting their own fates.
Their positions of subjugation to Western nations never allowed them to develop natural resources to the benefit ol their own national economy and remained therefore economically underdeveloped. Colonialism left them with a multitude of problems, to which solutions had to be sought soon they gained their national Independence after World War II. These problems are commion to the newlyborn countries in South and South East Asia. To solve these common problems, the Prime Minister of Ceylon, Sir John Kotelawala, invited the Prime Ministers of Burma, India, Indonesia and Pakistan to meet him in Ceylon for friendly discussions. The need for these friendly discussions Was then felt all the more, when the situation in Indo China grew worse and could therefore easily affect their countries. All these five countries depend for their future and the wellbeing of their peoples upon peace as a prerequisite to their plans of development and reconstruction.
All five countries have economic problems which can only be solved through a degree 8 of industrial development, and, in general, are still strangers to the industrial revolution. Indeed they had many common problems to discuss.
Therefore, the Prime Ministers of Burma, Ceylon, India, Indonesia and Pakistan met in Ceylon between 28th April and 2nd May, 1954. This meeting was referred to variously as the Conference of Asian Prime Ministers, or as the Colombo Conference from the name of the city where the five Prime Ministers met.
The meeting took place concurrently with the Geneva Conference which aimed at solution of the Indo-China question. The five that France should Asian Premiers proposed at Colombo declare at the Geneva Conference that she is irrevocably committed to the complete independence of Indo-China. They suggested direct negotiations utilisation of the between the parties principally concerned; they looked for good offices and machinery of the United Nations, and they hoped that the Geneva Conference would bring about speedy termination of the conflict.
It was evident that so clear a stand on this issue, taken by five countries who are close neighbours of Indo-China, could not but influence other international discussions, such as the Geneva Conference. It was also plain that this degree of agreement on the Indo-China question would extend to other fields. It did.
Besides detailing the views about the Indo-China question, the final communique of the Conference of SouthEast Asian Prime Ministers (issued at Kandy on 2nd May, 1954) referred also to many other matters, Colonialism was regretted as a violation of fundamental human rights: the claims to independence of Tunisia and Morocco were considered due for recognition: grave concern was expressed for the fate of the Arab refugees in Palestine, and a desire for a just and early settlement of the Palestine problem was expressed. The Prime Ministers affirmed their faith in democracy, exchanged views on the national and international aspects of communism, and determined that, whilst they would respect each other's sovereignty and would not interfere in each other's internal problems, they would resist interference in their internal affairs by Communist or other agencies. They deplored the production of the hydrogen bomb and other implements of mass destruction. They considered representation of the People's. Republic of China in the United Nations Organisation. They considered proposals for economic co-operation and mutual aid and referred these to their respective governments. Apart from expressing satisfaction with the Colombo Conference as paving the way for similar meetings in the future, they finally discussed the desirability of holding a Conference of Asian-African nations and favoured the proposal that the Prime Minister of Indonesia. who had brought forward this suggestion, should explore the possibility of such conference.
Addressing the Indian Council of World Affairs, during his visit to India, on 24th September, 1954, Premier Ali Sastroamidjojo of Indonesia, stated the following:
*At the Colombo Conference it was decided that the possibilities had to be explored of convening a larger Conference of more Asian countries than the original set of five, together with African Nations. This conference will enable us to strengthen our co-operation, to expand our efforts for peace whilst it will also convince the world that this enormous area does not want in its affairs any interference from outside in the realisation of its peaceful policies.
In a radio-broadeast in New Delhi on 25th September 1954, the Indonesian Premier again explained his idea of the Asian-African Conference as follows:“... Asians will have to make decisions on their own future, without interference by the Western World.
There has been a slogan which ran 'Let Asians fight Asians', That is precisely what we do nol want. What we want is to cooperate with our Asian and African neighbours, to live together in friendship and in peaceful co-existence, to strive hard, united in aim, for the common benefit of us all.'
On the same day, 25th September 1954, Premier Ali Sastroamidjojo and Prime Minister Nehru issued a Joint Statement, declaring that:
""*They discussed also the proposal to have a Conference of representatives of Asian and African countries and were agreed that a Conference of this kind was desirable and would be helpful in promoting the cause of peace and common approach to these problems It was-also considered by them that, prior to the meeting of such Conference, it would be advisable for the Prime Ministers of the Colombo Conference countries to mect together, preferably at Djakarta.'
Before returning from his visit to India, and at the invitation of Prime Minister U Nu of the Union of Burma, the Indonesian Premier spent three days in Rangoon for informal talks upon matters of common concern. At the conclusion of this visit a further Joint Statement was issued, which reiterated that the Burmese Premier considered that an Asian-African Conference was desirable and that it would further the cause of world peace.
After these visits, therefore, invitations were again sent to the four other Prime Ministers of the Colombo Conference, this time to a meeting in Indonesia which was to consider and to prepare for the proposed Asian-AfricanConference.
This meeting was eventually held in the mountain town of Bogor, and there the Prime Ministers of Burma, Ceylon, India, Indonesia and Pakistan met for three days from 28th to 31 st December, 1954, During this Bogor Conference, it was decided that an Asian-African Conference should be held in the month of April, 1955, at Bandung in Indonesia. Four purposes were outlined for this Conference:
1. to promote goodwill and cooperation among the nations of Asia and Africa, to explore and advance their mutual as well as common interests and to establish and further friendliness and neighbourly relations; 2. to consider social, economic and cultural problems and relations of the countries represented;3. to consider problems of special interest to Asian and African peoples, e.g. problems affecting national sovereignty and of racialism and colonialism;4. to view the position of Asia and Africa and their peoples in the world of today and the contribution they can make to the promotion of world peace and cooperation.
It was decided that twenty-five Asian and African five Premiers to countries should be jointly asked by the attend. The twenty-five countries are:
1. Afghanistan 2. Cambodia 3. Central African Federation 4. China 5. Egypt 6. Ethiopia7. Gold Coast 8. Iran Iraq 10. Japan 11. Jordan 12. Laos13. Lebanon 14. Liberia 15. Libya 16. Nepal 17. Philippines 18. Saudi Arabia-19. Sudan 20. Syria 21. Thailand 22. Turkey 23. Viet-Nam (North) 24. Viet-Nam (South) 25. Yemen
What do the Asian-African nations hope to achieve through this meeting? In this connection Premier Ali Sastroamidjojo, before Indian Parliament, when he visited India last September, said: of thinking, and keeping Principles of Pantja Sila, peace in our part of the world cannot be assured by military pacts such as was recently concluded in Manila.There is a better way to the preservation of peace, I mean cooperation and co-existence. In this respect the Colombo Conference has opened a new alley. This Conference had the Geneva Conference. The nations of Asia intervened, and intervened successfully. This showed the world that Asian Problems cannot be solved without Asian Nations.Much has already been achieved; much remains to be done. The views of Asian nations have already become an important factor not only in Asian fairs but in world affairs well. The advantage we have gained must be followed up. The principles of Colombo must be followed up and they must be expanded. We, the nations ofAsia, have friends amongst the nations of the African Continent. ours; to a large extent they face the same problems. To a large extent their position is the same as close Afro-Asian co-operation can be realised, and, submit, will lead to an immense strengthening of the forces strength, the moral and the spiritual strength of the whole marching to peace. We must bear in mind that the will be greater than the strength of the individual parts. To this aim a conference of Afro-Asian countries could lay down the pattern.We are not seeking peace for ourselves alone. Humanity the world over is crying out for peace.Humanity is standing at the cross-roads of history, and much of the responsibility for the future of humanity rests upon us, the peoples of Asia and Africa. We must not shirk that responsibility; we must not mortgage the future we must not endanger that independence, that freedom from foreign domination against which both our nations fought so long and which cost us so many of our dearest and best sons and daughters.'
Now, Indonesia, in close cooperation with Burma, Ceylon, India and Pakistan, as co-sponsoring countries, is working hard for the preparation of the Asian-African Conference. The opening of the Conference fixed for 18th April and it will last for about a week.This is the first time in Indonesia's history that she is called upon to be the host to eminent statesmen and politicians representing more than one half of the world's population. Indonesia is looking forward to welcoming them and is using all means at her disposal towards the holding of a pleasant, cordial and successful Asian-African Conference.",general,,,,
"The Prime Ministers of Burma, Ceylon, India, Indonesia and Pakistan met at Bogor on the 28th and 29th December, 1954. The main object of their meeting was to consider matters concerning the proposed Asian-African Conference suggested at the first meeting of the Prime Ministers at Colombo last April.The Prime Ministers took advantage of the opportunity of their present meeting to review briefly, and in general terms, problems and issues of common interest and concern to them all.3. The Prime Ministers agreed that an Asian-African Conference be held under their joint sponsorship. They also reached agreement on all consequential matters.The purposes of the Asian-African Conference would be :
a. to promote goodwill and cooperation between the nations of Asia and Africa, to explore and advance their mutual well common interest and to establish and further friendliness and neighbourly relations; b. to consider social, economic and cultural problems and relations of the countries represented; to consider problems of special interest to Asian and African peoples, e.g. problems affecting national sovereignty and of racialism and colonialism ; d. to view the position of Asia and Africa and their peoples in the world of today and the contribution they can make to the promotion of world peace and cooperation.
5. The Conference will meet in Indonesia in the last week of April 1955. The Government of Indonesia have agreed to make the necessary arrangements for this Conference on behalf of the sponsoring countries. A Conference Secretariat representing the sponsoring countries will be set up in Indonesia.6. The Prime Ministers agreed that the Conference should have a broad and geographical basis, and that all countries in Asia and Africa, which have independent governments, should be invited. With minor variations and modifications of this basic principle, they decided invite the following countries :
1. Afghanistan 2. Cambodia 3. Central African Federation 4. China 5. Egypt 6. Ethiopia 7. Gold Coast 8. Iran 9. Iraq 10. Japan 11. Jordan 12. Laos
13. Lebanon 14. Liberia 15. Libya 16. Nepal 17. Philippines 18. Saudi Arabia 19. Sudan 20. Syria 21. Thailand 22. Turkey 23. Viet-Nam-(North) 24. Viet-Nam (South) 25. Yemen
The above twenty five countries, together with the five sponsoring countries, namely, Burma, Ceylon, India, Indonesia and Pakistan, will, it is hoped, participate in the Conference.7. Representation at the Conference will be at Ministerial level and it is hoped that each country invited will be represented by her Prime Minister and or Foreign Minister together with such other representatives as cach government might wish to include in its delegation.The Conference will determine its procedure and agenda, the general scope of which is set out in the purposes of the Conference.The Prime Ministers wished to point out that acceptance of the invitation by any one country would in nO way involve or even imply any change in its view of the status of any other country. It implied only that the country invited was in general agreement with the purposes of the Conference, They had also borne in mind the principle that the form of government and the way of life of any one country should in no way be subject to interference by another. Any view expressed at the Conference by one or more participating country would not be binding on or be regarded as accepted by any other, unless the latter so desired. The basic purpose of the Conference is that the countries concerned should become better acquainted with one another's point of view. The Prime Ministers hoped that this clarification would enable all the invited countries to accept their invitation.10. The Prime Ministers wished to state that in seeking to convene an Asian-African Conference, they were not actuated by any desire for exclusiveness in respect of the membership of the Conference. They did not desire either that the participating countries should build themselves into a regional bloc.11. The Prime Ministers expressed gratification at the results of the Geneva Conference on Indo-China and the cessation of hostilities. They expressed the hope that the Geneva Agreements would be fully respected and implemented by all concerned and that there would be no outside interference which would hinder their successful implementation.12. The Prime Ministers in the context of their well known attitude towards colonialism, took note of the case of West Irian. The Prime Ministers of Burma, Ceylon, India and Pakistan supported the position of Indonesia in thismatter. They expressed the earnest hope that the Netherlands Government would reopen negotiations to implement their obligations under the solemn agreements concluded by them with Indonesia.13. The Prime Ministers expressed their continued support of the demand of the peoples of Tunisia and Morocco for their national independence and their legitimate right to self-determination.14. The Prime Ministers reiterated their grave concern in respect of the destructive potential of nuclear and thermonuclear explosions for experimental purposes which threaten not only their countries, but the world, and their far-reaching and yet unascertained effects which may do permanent damage to human life and civilization. They earnestly requested all concerned to bring about a cessation of such experiments. They also requested the Disarmament Commission to take this matter into immediate consideration.15. The economic development of Asian countries, which is so urgently necessary for the happiness and wellbeing of their peoples, requires a planned approach with a view to the utilization, in the most effective manner, of the available resources: An essential pre-requisite of such an approach is full knowledge of these resources. Surveys of physical resources, particularly of the mineral and sub-soil wealth of each country, should therefore be conducted, and cooperation in the supply of technical personnel and in other ways should be made available.16. The Prime Ministers considered that cooperation in the economic sphere for the supply of technical personnel and in all other ways should engage the attention of their Governments. They considered that a committee of experts should be set up to consider economic questions of common interest to their countries.17. The Prime Ministers, meeting on the eve of the New Year, expressed their earnest hope that the year 1955 would witness a further growth in the friendly cooperation of the countries represented in the Conference as well as other countries and further the cause of world peace.",communique,,,,
"The following are highlights of Premier All Sastroamb djojo's answers to the series of questions from H. Gordon, Far Eastern Editor of the I.N.S.:What, in your opinion is the major objective of the Afro-Asian Conference?In my opinion the major objective of the Asian African Conference is what is said in paragraph 4(d) of the Joint Communique of the Bogor Conference, aS follows: ""to view the position of Asia and Africa and their peoples in the world of today and the contribution they can make to the promotion of world peace and cooperation*
However, the three other points of that paragraph should not be considered as unimportant, as they contain issues which are of vital interest for the peoples of Asia and Africa in their relations between each other and the world at large.
Do you expect the Conference to take action on the issue of co-existence ? If so, what?The problem of peaceful co-existence might come up as an item for discussion in the Conference since it not only concerns the peoples of Asia and Africa but also other nations in the world. Whether the Conference will take actions on that issue, I do not yet know.
Is there any fear the Peoples Republic of China will use the Conference simply to strengthen the role of Communism in Asia?There is no such fear from the side of the five sponsoring Colombo countries.
What do you envisage the Conference can do to ease world tensions, particularly those between Moscow and Washington?This question must be viewed in the light of what I have said in answering your first question. What the Conference can do to ease world tensions depends on the outcome of the discussions concerning the position of Asia and Africa and their peoples in the world of today,
What ""common denominators"" can be expected to unify the invited nationsSome of the ""common denominators"" might be the social, economic and cultural problems and relations of the countries represented in the conference since most of the invitees are today facing more or less the same economic situation in their respective countries. Another issue of common interest might be the question of colonialism.
Is the Conference fundamentally a search for political and international solidarity by the non white races of the world?Since most of the invitees are members of the United Nations, it can be said that I will not deviate from the fundamental objective of the United Nations Charter, of which the most important one is international solidarity. I can therefore state here that it is positively not an international solidarity of the ""nonwhite races'' against the ""white races'
Why were the Arab nations invited, but not Israel?Whether a country is to be invited, was decided by the five Prime Ministers unanimously, The invitation to the Arab nations was agreed upon unanimously, whereas there was no unanimity concerning Israel.
Why was Communist China invited, but not Nationalist China?The five sponsoring countries recognize only China, that is the People's Republic of China.
Why were Vietnam and Vietminh invited, but not the Republic Korea?As you know the five Prime Ministers of the sponsoring countries are more or less committed with regard to the issue of IndoChina, since in April 1954 when meeting for the first time in Colombo, they have taken a common stand on the Indo-China problem. The world also knows that the Colombo decision had a considerable influence on the Geneva Conference resulting in the state of affairs prevailing now in Indo-China. Now that our suggestions accepted by the Geneva Conference, we felt a special responsibility by inviting all the Into China a including South Vietnam and Vietminh (North Vietnam).That same reasoning did not apply to Korea
What will prevent the conference from developing into an alignment against the rest of the free world under pro-Communist slogans of anti-colonialism and anti-imperialism?
Anti-colonialism and anti-imperialism are not slogans monopolized by Communists, but are living realities in the minds of the masses of the peoples of Asia and Africa. Unfortunately these sentiments are generally ignored or minimized by the Western world. The presumption that anti-colonialism and anti-imperialism are merely Communist slogans, indicates an ignorance of the psychological impact on the feelings prevailing today among the Asian and African nations which only recently emerged from colonial status into independence. It is therefore wrong to anticipate that the conference will develop into any alignment against or for any bloc in the world.
Will the conference leaders encourage the formation of a ""third force"" in world politicsNo. In their joint Communique after the Bogor Conference the five Prime Ministers stated very clearly that: ""They did not desire either that the participating countries should build themselves into a regional bloc"",
What is your reply to the recent criticism of Secretary John Foster Dulles that the recent five-power communique was a ""somewhat ambiguous document ?""I have no official communication from the Secretary of State Mr. John Föster Dulles concerning his criticism. In my opinion the recent Five Power Communique was a clear document with a clear purpose.",general,,Ali Sastroamidjojo,,
"Afro-Asian meeting
Of the significance of the forthcoming Afro-Asia ference, for which the foundations are being laid by the Colombo Powers at Bogor, there can be no doubt. It is in response to an increasing awareness of common interests and closer bonds among those Afro-Asian Powers which have remained uncommitted to either the Communist before the
States or to the Western bloc. On many issues U.N, in deciding which, it was felt, there was a preponderance of Big Power influence, the smaller States of the Afro-Asian continents have invariably combined to exercise a moderating and restraining influence. To what extent the proposed conference will establish some form of machinerary for mutual consultations en a regular basis if, indeed, specific and formal procedure is considered necessary is a question for the main body of the AfroAsian Conference to decide for itself. The enthusiasm with which the prospects of closer co-operation among the Afro-Asian Power have been received should not blind us to the very real difficulties of forming an organisation which is not a bloc but is at the same time sufficiently cohesive to represent the interests of countries covering

so vast an area as that of the Afro-Asian continents. Clearly, anticolonialism is too negative a platform to provide the sense of contsructive purpose which alone can make the organisation truly effective and acceptable as the spokesman of the Afro-Asian peoples. .....
Much will depend on whether Peking considers itself more Asian than Communist or vice versa. If the AfroAsian Conference accomplishes nothing more than reveal to what extent Communist is willing to co-operate with its Asian neighbours and Arab States, it will be a worthy attempt on behalf of Asian solidarity. Peking will then be given an opportunity to establish its bona fides and if possible confound those sceptisc who feel that, by the fact of being Communist, China is rearer to its fellow Communist States in Europe than to its Asian neighbours with which it has racial and cultural ties.
(The Times of India, Delhi 28-12-'54)",press,,,Asia and Africa,
"Jakarta Conference
In a stirring speech made at a mass meeting at. Jakarta, Prime Minister Mohammed Ali has reiterated the principles of Pakistan's foreign policy in very clear terms. His bold reference to Islam as a living force drew such an applause from the audience that he had to pause several times to let the ovation die down. The fact that Mr. Mohammed Ali is the Prime Minister of an Islamic State has placed him in an enviable position to talk to the people of Indonesia as freely as he would talk to his own people. The spontaneous and overwhelming response that his speech has evoked, brings to the fore the vigour and appeal that Islam commands as a force which can transcend the barriers imposed by geography, language and customs. His performance has indeed earned Pakistan a permanent place in the hearts of the people of Indonesia.When the Prime Minister told the people of Indonesia ""When you fought for your independence, the hearts ef our people and their prayers were with you When you suffered, we suffered too in our hearts"", he was not making
a diplomatic statement, but was expressing the feeling of the people of this country. We have consistently upheld the right of those peoples who are struggling to free themselves form the bondage of colonialism. Our feeling of anxiety is all the more great if the oppressed people happen to be Muslims. In the international conferences Pakistan has not missed a single opportunity to uphold the cause of these peoples. In the independence of Libya, Pakistan played no mean a part. In the last Colombo Conference, it was Pakistan which sponsored the resolution declaring the full fledged support to the liberation movement in French North Africa. Likewise in the Jakarta Conference Pakistan has again succeeded in securing a pledge from the Asian Premiers to continue supporting the North African liberation struggle.Pakistan's stand in the Jakarta Conference regarding the solution of outstanding disputes among the participating countries, has once again placed India in a difficult position, The logic of Pakistan's plea has thwarted the endorsement
Nehru-Chou En-Lai five-point programme which would establish India's leadership over Asia. Though at the instance of Pakistan, the conference has agreed that the proposed Afro-Asian Conference was not aimed at creating regional bloc, India has not completely abandoned the ides and is reported to be busy enlisting support for her plan. The best protection against India's attempts to reduce the conference into an instrument for the enhance-sphere of its participation.Pakistan has already proposed that Turkey should be invited in the proposed conference as she has vital interest in Asia and Africa. With the decision already taken to invite Japan to the conference, there will be a formidable combination against any attempts by any country to dominate the region. The first duty the proposed AfroAsian Conference will be towards itself. If the conference fails to solve those issues which are faced by the nations participating in this conference, it will have forfeited the claim to show the rest of the world the way to peace.(Pakistan Standard, Karachi 1-1-'55).",press,,,Asia and Africa,
"This 'Afro-Asianism'
The meeting at Bogor, Indonesia, of five Asian Prime Ministers, representing the so-called Colombo Powers, has decided to issue invitations to 25 other countries besides the sponsors TO attend a larger conference planned for April this year. If every invitation is accepted, all the independent States of the two continents will gather together four months hence with two exceptions: Israel and the Union of South Africa. Thus, a new international body comprising exclusively the coloured"" races and nations, seems to be taking shape. Whether this further sub-division of mankind is likely to be conducive of good for the world and the human race is problematical. The United Nations, as it exists and functions today, may be far from a perfect institution, but this attempt to create unsatisfactory what may well prove to be an even more united nations"" of Asians and Africans alone is not the answer. Can it not be, that a sort of inferiority complex, magnified to international proportions, underlies the urge
to bring together the yellow, brown and black pigmented peoples in an exclusive organisation of their own ? It may be said that only loose periodical meetings, and no permanent organisation, is at present contemplated, but such moves inevitably lead to the emergence of organisation. According to the communique issued by the ""Colombo Powers"" which term is in itself a misnomer the which will purpose of the larger Afro-Asian meet probably result in the discovery of a new name, the""*Jakarta Powers"", would be""A. To promote goodwill and co-operation between the nations of Asia and Africa, to explore and advance their
mutual as well as their common interests and to establish and further friendliness and neighbourly relations.""B. To consider the social, economic and cultural problems and relations of the countries represented""C. To consider the problems of special interest to Asian and African peoples, e.g. the problems affecting the national sovereignty and of racialism and colonialism;""D. To view the position of Asia and Africa and their peoples in the world of today and the contribution they can make to the promotion of world-peace and cooperation"".
With regard to ""A"", can such meetings alone achieve this object ? A negative answer is suggested by the failure of the first meeting In Colombo to promote ""goodwill and co-operation between, for example, Bharat and Pakistan. In fact, the relationship between these two countries considerably deteriorated after that meeting. As for ""B"", every country in the world has its social and cultural problems, with which it deals in its own way, and in the solution of which there is not much scope fOr practical international co-operation, unless the aim is to exchange and transplant social and cultural characteristics, which would be an absurd proposition. Economic problems, no doubt, provide greater scope for co-operation and mutual help, but In this assistance of the economically advanced and flourishing nations of the rest of the world is needed even more. The cult of Afro Asian exclusiveness that is being fostered is not likely to encourage that assistance. And why under ""C"", does the communique mention only national sovereignty, racialism and colonialism as problems of special interest to Asia and Africa? Such vestiges of colonialism and racialism as still remain and as imply the superiority of or domination by one people over another, must no doubt be ended, but is there no racialism and colonialism inside the Afro-Asian world itself ? Do we not behold across our own frontiers a new racialism of the worst possible type rearing its ugly head, and do we not ourselves possess a neighbour who has many times in recent months attempted to be-little our own national sovereignty And most important of all, are not international goodwill and co-operation, as well 2S peace itself, threatened by the dispute over Kashmir, the people of which territory continue to groan under the yoke of an Asian country ? It is only a pretence for the ""Colombo Powers"" to think that while on the one hand they ignore these internal realities within the ""Afro-Asian"" world, they can, on the other hand, promote ""world peace and co-operation"" by mobilising Asia and Africa against the rest.
Our Prime Minister, Mr. Mohammed Ali, has done well to point out emphatically at Bogor, as he did on the and previous occasion at Colombo, that if such meetings conference are to serve any useful purpose the internal problems of the region, such as disputes between the conferring countries themselves, must be taken cognizance of and dealt with, instead of pretending as if they did not exist.Last but not the least important is the question why the threat of Communism to the countries of Asia and Africa has found no mention at all in the Bogor communique ? In the communique issued after the first conference at Colombo the following important passage was included under the head ""Communism and external interference"" **The subject of Communism in its national and international aspects was discussed. The Prime Ministers declared their unshakable determination to resist interference in the affairs of their countries by external Communist, anti-Communist or other agencies. They were convinced that such interference threatened the sovereignty, security, and political independence of their respectiveStatesHow did it come about at Bogor that in drawing up the aims and objects of the larger Asian-African conference the threat of Communism was wholly forgotten ? If the explanation is that Communist China being one of the new invitees, the mention of Communism was left out so as not to offend the susceptibilities of that country, then it would be a confession of a complete ideological surrender.And finally the vital principle that in such conferences decisions would not be taken by a majority but only on ferring countries themselves, must be taken cognizance of and dealt with, instead of pretending as if they did not exist.Last but not the least important is the question why the threat of Communism to the countries of Asia and Africa has found no mention at all in the Bogor communique ? In the communique issued after the first conference at Colombo the following important passage was included under the head ""Communism and external interference"" **The subject of Communism in its national and international aspects was discussed. The Prime Ministers declared their unshakable determination to resist interference in the affairs of their countries by external Communist, anti-Communist or other agencies. They were convinced that such interference threatened the sovereignty, security, and political independence of their respectiveStatesHow did it come about at Bogor that in drawing up the aims and objects of the larger AsianAfrican conference the threat of Communism was wholly forgotten ? If the explanation is that Communist China being one of the new invitees, the mention of CommunismWaC
Communism was left out so as not to offend the susceptibilities of that country, then it would be a confession of a complete ideological surrender. decisionsAnd finally the vital principle that in such conferences would not be taken by a majority but only on the basis of absolute unanimity, seems to have been abandoned in practice. The Prime Minister of Ceylon, Sir John Kotelawala made what one must regard as a damaging revelation when he said after the conference: ""You have to abide by the majority's views and decisions at such conferences.* Our own Prime Minister said the same thing in different words when he disclosed that the decision to invite Communist China ""was not unanimous from the start."" In view of this change in the procedure by which decisions are now taken at these conferences, Pakistan, we suggest, should continue to participate in them only if the original principle of no decision by majority is revived and stricly adhered to. And greater resistance should be displayed in future to ""persuasion"" intended to obtain unanimity at the sacrifice of the principles for which Pakistan stands.(Dawn, Karachi2-1-'55).",press,,,Asia and Africa,
