"","word","freq.all","freq.general"
"1","conference",828,155
"2","world",444,106
"3","will",430,76
"4","countries",384,86
"5","nations",338,51
"6","asia",329,70
"7","peoples",317,74
"8","peace",300,63
"9","africa",266,60
"10","asian",231,35
"11","bandung",211,10
"12","can",183,50
"13","one",183,35
"14","indonesia",171,53
"15","asianafrican",170,28
"16","people",167,23
"17","may",157,41
"18","china",148,33
"19","cooperation",145,29
"20","new",143,31
"21","united",143,20
"22","african",139,26
"23","great",139,28
"24","common",132,36
"25","colonialism",127,32
"26","problems",126,30
"27","economic",125,21
"28","also",125,23
"29","powers",120,4
"30","many",118,43
"31","country",115,13
"32","international",112,13
"33","prime",108,39
"34","among",102,12
"35","independence",100,30
"36","states",99,8
"37","fact",98,16
"38","government",96,18
"39","freedom",94,8
"40","political",93,17
"41","republic",92,48
"42","made",91,26
"43","must",89,18
"44","war",89,20
"45","way",88,19
"46","today",85,30
"47","first",84,19
"48","now",84,17
"49","question",81,23
"50","time",80,19
"51","hope",79,20
"52","make",77,18
"53","principles",77,14
"54","two",77,18
"55","relations",76,19
"56","however",75,18
"57","meeting",74,21
"58","even",73,20
"59","south",73,6
"60","part",72,13
"61","together",72,24
"62","well",71,12
"63","cultural",71,15
"64","history",71,21
"65","much",71,23
"66","say",71,12
"67","colombo",69,14
"68","western",69,4
"69","five",68,24
"70","april",67,11
"71","human",67,8
"72","like",67,6
"73","minister",65,26
"74","ministers",65,28
"75","national",64,15
"76","come",64,9
"77","affairs",63,21
"78","good",63,16
"79","peaceful",63,8
"80","still",62,19
"81","power",62,17
"82","west",61,2
"83","colonial",60,11
"84","communist",59,3
"85","important",59,10
"86","india",59,13
"87","upon",59,17
"88","interest",58,15
"89","let",58,24
"90","another",58,17
"91","free",57,12
"92","delegates",57,9
"93","mutual",55,18
"94","pakistan",55,6
"95","possible",55,9
"96","delegation",55,4
"97","afroasian",54,3
"98","might",54,8
"99","state",54,14
"100","mankind",54,20
"101","view",53,7
"102","support",53,3
"103","understanding",53,13
"104","invited",52,12
"105","place",52,10
"106","general",51,4
"107","future",50,12
"108","long",50,14
"109","others",50,22
"110","rights",50,9
"111","said",50,9
"112","without",50,9
"113","end",50,10
"114","position",49,7
"115","right",49,4
"116","far",48,16
"117","different",48,15
"118","president",48,12
"119","east",47,7
"120","development",46,7
"121","policy",46,1
"122","japan",45,2
"123","desire",44,8
"124","foreign",44,18
"125","present",44,11
"126","take",44,10
"127","yet",44,12
"128","spirit",44,13
"129","friendly",43,15
"130","nehru",43,2
"131","chinese",43,4
"132","shall",43,15
"133","coexistence",42,7
"134","last",42,6
"135","therefore",42,14
"136","towards",42,5
"137","life",42,12
"138","fear",42,24
"139","work",42,5
"140","tension",42,10
"141","past",42,8
"142","arab",41,3
"143","problem",41,7
"144","taken",41,4
"145","vietnam",41,5
"146","purpose",41,6
"147","continents",41,10
"148","social",40,9
"149","communism",40,3
"150","live",40,13
"151","participating",40,2
"152","racial",40,1
"153","security",40,2
"154","order",40,3
"155","sovereignty",39,9
"156","contribution",39,11
"157","respect",39,8
"158","opinion",39,9
"159","every",39,8
"160","success",39,7
"161","able",39,6
"162","struggle",39,9
"163","consider",38,13
"164","represented",38,11
"165","cause",38,6
"166","need",38,4
"167","issues",38,6
"168","imperialism",38,4
"169","chou",38,8
"170","agreement",37,9
"171","clear",37,12
"172","efforts",37,6
"173","means",37,10
"174","purposes",37,13
"175","strength",37,14
"176","views",37,9
"177","full",37,5
"178","help",37,3
"179","think",37,8
"180","nation",37,5
"181","importance",37,7
"182","years",37,11
"183","achieve",36,5
"184","burma",36,9
"185","governments",36,4
"186","america",36,2
"187","concern",35,8
"188","want",35,12
"189","form",35,7
"190","force",35,5
"191","since",35,5
"192","going",35,7
"193","weapons",35,2
"194","become",34,5
"195","better",34,5
"196","ceylon",34,8
"197","decisions",34,8
"198","indonesian",34,6
"199","north",34,2
"200","sponsoring",34,11
"201","know",34,16
"202","american",34,2
"203","treaty",34,19
"204","best",33,6
"205","bring",33,4
"206","friendship",33,6
"207","influence",33,4
"208","meet",33,7
"209","philippines",33,2
"210","basis",33,10
"211","bloc",33,7
"212","man",33,12
"213","perhaps",33,7
"214","equality",33,6
"215","promotion",32,7
"216","already",32,8
"217","indeed",32,9
"218","principle",32,8
"219","leaders",32,11
"220","whether",32,2
"221","certainly",32,4
"222","resolutions",32,2
"223","progress",32,8
"224","goodwill",31,8
"225","bogor",31,7
"226","concerned",31,2
"227","military",31,2
"228","representatives",31,9
"229","independent",31,8
"230","point",31,5
"231","charter",31,5
"232","result",31,9
"233","see",31,2
"234","unity",31,6
"235","paper",31,NA
"236","attend",30,6
"237","expressed",30,5
"238","geneva",30,7
"239","greater",30,4
"240","invitation",30,5
"241","policies",30,3
"242","statement",30,8
"243","given",30,3
"244","sense",30,7
"245","enlai",30,8
"246","things",30,7
"247","give",30,14
"248","differences",30,3
"249","days",29,8
"250","met",29,6
"251","use",29,2
"252","times",29,4
"253","region",29,NA
"254","believe",29,3
"255","discussions",28,14
"256","never",28,7
"257","attitude",28,NA
"258","matter",28,6
"259","wish",28,2
"260","within",28,3
"261","whatever",28,5
"262","find",28,9
"263","little",28,11
"264","discrimination",28,2
"265","domination",27,5
"266","held",27,7
"267","just",27,8
"268","large",27,11
"269","premier",27,14
"270","thailand",27,2
"271","main",27,4
"272","opportunity",27,3
"273","particularly",27,2
"274","results",27,4
"275","peking",27,NA
"276","certain",27,4
"277","put",27,6
"278","danger",27,4
"279","racialism",26,7
